y,x,value
France,2002,1
France,2003,1
France,2004,1
France,2005,1
France,2005,1
France,2006,0.07
France,2007,0.13
France,2008,.16
France,2009,0.11
France,2010,0.15
France,2011,.13
France,2012,1
France,2013,.15
France,2014,.17
Netherlands,2002,1
Netherlands,2003,1
Netherlands,2004,1
Netherlands,2005,0.08
Netherlands,2006,0.08
Netherlands,2007,0.11
Netherlands,2008,.3
Netherlands,2009,0.13
Netherlands,2010,0.13
Netherlands,2011,.15
Netherlands,2012,1
Netherlands,2013,.22
Netherlands,2014,0.2
Belgium,2002,1
Belgium,2003,1
Belgium,2004,1
Belgium,2005,1
Belgium,2006,.05
Belgium,2007,0.04
Belgium,2008,.04
Belgium,2009,0.08
Belgium,2010,.08
Belgium,2011,.11
Belgium,2012,1
Belgium,2013,.13
Belgium,2014,0.15
Italy,2002,1
Italy,2003,1
Italy,2004,1
Italy,2005,1
Italy,2006,0.01
Italy,2007,0.02
Italy,2008,.02
Italy,2009,0.03
Italy,2010,0.03
Italy,2011,.04
Italy,2012,1
Italy,2013,1
Italy,2014,1
Spain,2002,1
Spain,2003,1
Spain,2004,1
Spain,2005,1
Spain,2006,1
Spain,2007,0.03
Spain,2008,.03
Spain,2009,0.05
Spain,2010,0.04
Spain,2011,.05
Spain,2012,1
Spain,2013,.08
Spain,2014,0.09
Bulgaria,2002,1
Bulgaria,2003,1
Bulgaria,2004,1
Bulgaria,2005,1
Bulgaria,2006,0.01
Bulgaria,2007,0.01
Bulgaria,2008,.01
Bulgaria,2009,0.02
Bulgaria,2010,0.02
Bulgaria,2011,.01
Bulgaria,2012,1
Bulgaria,2013,.01
Bulgaria,2014,0.01
Czech Republic,2002,1
Czech Republic,2003,1
Czech Republic,2004,1
Czech Republic,2005,.02
Czech Republic,2006,.02
Czech Republic,2007,.02
Czech Republic,2008,.02
Czech Republic,2009,.01
Czech Republic,2010,..02
Czech Republic,2011,.02
Czech Republic,2012,1
Czech Republic,2013,.02
Czech Republic,2014,.02
Denmark,2002,1
Denmark,2003,1
Denmark,2004,1
Denmark,2005,.14
Denmark,2006,.14
Denmark,2007,.10
Denmark,2008,.17
Denmark,2009,.23
Denmark,2010,.29
Denmark,2011,.29
Denmark,2012,1
Denmark,2013,.21
Denmark,2014,.23
Germany,2002,1
Germany,2003,1
Germany,2004,1
Germany,2005,.11
Germany,2006,.24
Germany,2007,.19
Germany,2008,.16
Germany,2009,.22
Germany,2010,.22
Germany,2011,.14
Germany,2012,1
Germany,2013,.24
Germany,2014,.26
Estonia,2002,1
Estonia,2003,1
Estonia,2004,1
Estonia,2005,.01
Estonia,2006,.01
Estonia,2007,.02
Estonia,2008,.01
Estonia,2009,.04
Estonia,2010,.03
Estonia,2011,.04
Estonia,2012,1
Estonia,2013,.05
Estonia,2014,.11
Ireland,2002,1
Ireland,2003,1
Ireland,2004,1
Ireland,2005,.07
Ireland,2006,.07
Ireland,2007,.04
Ireland,2008,.07
Ireland,2009,.08
Ireland,2010,..08
Ireland,2011,.25
Ireland,2012,1
Ireland,2013,.15
Ireland,2014,.18
Greece,2002,1
Greece,2003,1
Greece,2004,1
Greece,2005,.001
Greece,2006,.02
Greece,2007,.01
Greece,2008,.01
Greece,2009,.01
Greece,2010,.01
Greece,2011,.01
Greece,2012,1
Greece,2013,.02
Greece,2014,.02
